StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       28,      01,   200202,    .85,   36.5,  -4.57,  -4.57,  -3.09,  -4.57,      0,    798,   -2.7,  -2.21,  -2.46,  -2.72,  -2.35,  -2.03,  -1.13,   25.5,   47.5,
       28,      01,   200203,   3.76,   40.6,  -4.23,  -4.23,   -.42,  -4.23,      0,    756,    .07,   -1.2,  -1.83,  -3.09,  -2.56,  -2.61,  -1.16,   30.1,   51.1,
       28,      01,   200204,   4.12,     52,  -3.91,  -3.91,   -.35,  -3.91,      0,    390,    .29,     .2,    -.7,  -2.16,     -2,  -1.87,  -1.08,   40.1,   63.9,
       28,      01,   200205,   5.15,   56.9,   -3.2,   -3.2,    .94,  -2.77,      8,    259,    .68,    .63,    .52,   -.93,  -1.78,  -1.58,  -1.06,   45.1,   68.7,
       28,      01,   200206,   5.27,   68.5,  -2.45,  -2.45,   1.25,  -1.49,    120,     15,    .74,    .89,    .83,   -.26,  -1.62,  -1.62,  -1.09,   56.9,   80.2,
       28,      01,   200207,   1.54,   74.7,  -3.12,  -3.12,  -2.75,  -3.12,    301,      0,   -1.8,   -.65,    -.2,   -.66,  -1.58,  -1.75,  -1.63,   62.9,   86.4,
       28,      01,   200208,   3.93,   74.3,  -3.28,  -3.28,  -1.45,  -3.28,    288,      0,   -.07,   -1.3,   -.66,   -.25,  -1.18,  -1.64,  -1.82,   62.3,   86.2,
       28,      01,   200209,   4.47,   66.1,  -3.03,  -3.03,   -.26,  -3.03,     80,     47,    .38,    .09,   -.81,   -.08,    -.8,  -1.71,  -1.77,   54.4,   77.8,
       28,      01,   200210,   6.81,   51.1,   1.03,  -1.68,   3.09,   -.36,      0,    431,   1.32,   1.12,    .77,    .43,    .04,   -.74,  -1.13,   41.4,   60.8,
       28,      01,   200211,   4.69,   41.2,   1.21,  -1.23,    .85,    .42,      0,    714,    .67,   1.35,   1.21,    .44,    .55,   -.22,   -.96,   32.4,     50,
       28,      01,   200212,   4.57,   30.8,   1.43,   -.75,   1.04,   1.21,      0,   1060,    .53,    .77,   1.38,    .33,    .69,    .12,   -.87,   22.8,   38.8,
       28,      01,   200301,   2.77,   23.7,   1.08,   -.88,   -.62,    .75,      0,   1280,   -.31,    .16,    .49,    .81,    .54,    .22,   -.82,   16.1,   31.3,
       28,      01,   200302,   4.25,   25.7,   1.55,   1.55,   1.76,   1.55,      0,   1100,    .98,    .35,    .57,    1.3,    .57,    .68,   -.66,   17.4,   34.1,
       28,      01,   200303,   4.36,   38.7,   1.53,   1.53,    .42,   1.53,      0,    815,    .43,    .88,    .52,    1.3,    .46,    .77,    -.8,   26.8,   50.6,
       28,      01,   200304,   2.59,   46.7,    .95,    .95,  -1.27,    .21,      0,    549,   -.75,   -.18,    .22,    .46,    .73,    .52,   -.72,   36.1,   57.3,
       28,      01,   200305,   3.98,   56.3,    .84,    .84,   -.04,    .04,      6,    276,     .1,   -.46,   -.15,    .21,    .89,    .34,   -.76,   46.2,   66.2,
       28,      01,   200306,   9.29,   65.5,   2.72,   2.72,   5.91,   2.72,     63,     48,   2.18,   1.67,   1.18,   1.18,   1.54,    .89,   -.44,   55.7,   75.3,
       28,      01,   200307,   3.76,   72.8,   2.25,   2.25,   -.58,   1.94,    242,      0,   -.38,   1.36,   1.11,   1.02,      1,   1.16,   -.39,   61.9,   83.6,
       28,      01,   200308,   5.93,   73.4,   2.36,   2.36,   1.02,   2.36,    260,      0,    .76,    .25,   1.37,    .96,   1.05,   1.39,   -.13,   63.5,   83.3,
       28,      01,   200309,   7.89,   64.7,   3.19,   3.19,   3.23,   3.19,     58,     67,   1.49,    1.4,   1.04,   1.42,   1.47,   1.65,    .24,   55.6,   73.8,
       28,      01,   200310,   5.84,   50.7,   3.93,   3.93,   3.19,   3.93,      0,    443,   1.01,    1.7,   1.58,   1.88,   1.81,   1.63,    .72,   39.5,   61.8,
       28,      01,   200311,   4.48,   46.3,   3.61,   3.61,    .27,   3.61,      0,    561,    .56,   1.04,   1.72,   1.97,   1.73,   1.72,   1.01,   37.2,   55.4,
       28,      01,   200312,   6.12,   33.3,   4.07,   4.07,   2.49,   4.07,      0,    983,   1.31,   1.26,   1.47,    1.7,   1.81,   1.82,   1.27,     25,   41.6,
       28,      01,   200401,   2.19,   21.8,   3.24,   3.24,  -1.23,   2.71,      0,   1339,   -.81,    .55,    .72,   1.73,   1.88,   1.78,   1.24,   14.1,   29.4,
       28,      01,   200402,   2.42,   30.6,   2.68,   2.68,   -.67,   1.84,      0,    963,   -.38,   -.98,    .28,   1.57,   1.88,   1.59,   1.35,   21.1,     40,
       28,      01,   200403,   2.91,   40.9,   1.95,   1.95,  -1.36,    .58,      0,    747,   -.51,   -.72,  -1.22,    .66,   1.14,   1.43,   1.31,   31.1,   50.7,
       28,      01,   200404,   4.94,   50.4,   1.98,   1.98,    .67,    .85,      0,    438,    .73,    .19,   -.11,    .42,   1.45,   1.69,   1.31,   39.3,   61.4,
       28,      01,   200405,   4.64,   63.9,   1.66,   1.66,   -.33,    .43,     64,     98,    .44,    .74,    .36,    .37,   1.36,   1.79,   1.35,   51.9,   75.9,
       28,      01,   200406,   3.19,     67,   1.24,   1.24,   -.77,   -.22,     88,     28,   -.38,    .02,    .31,   -.47,    .62,   1.04,   1.19,   56.2,   77.8,
       28,      01,   200407,   8.47,     71,    2.3,    2.3,   3.58,   1.89,    191,      0,   1.64,    .97,    .93,    .68,    .86,   1.65,   1.83,     61,   80.9,
       28,      01,   200408,   4.97,   70.9,    2.3,    2.3,     .7,   2.06,    190,      7,     .4,   1.23,    .86,    .81,    .78,   1.46,   2.01,   61.1,   80.6,
       28,      01,   200409,   8.67,   65.7,   3.37,   3.37,   3.92,   3.37,     73,     52,    1.7,   1.36,   1.82,   1.63,   1.12,   1.45,   2.21,   55.4,     76,
       28,      01,   200410,   1.74,   51.9,   2.63,   2.63,  -1.18,    2.1,      0,    406,   -.94,    .89,    .81,   1.16,    .99,   1.06,   1.82,   42.1,   61.6,
       28,      01,   200411,   4.38,   44.7,   2.46,   2.46,     .3,      2,      0,    609,    .51,   -.32,    .93,   1.18,   1.16,   1.13,   1.88,   34.9,   54.4,
       28,      01,   200412,   3.97,   32.8,   2.35,   2.35,    .43,      2,      0,    998,    .19,    .42,   -.23,   1.41,   1.25,    .84,   1.67,   23.9,   41.7,
       28,      01,   200501,   4.99,   26.7,   2.68,   2.68,   1.73,   2.68,      0,   1187,   1.08,    .79,    .88,   1.08,   1.33,   1.17,   1.74,   18.4,   35.1,
       28,      01,   200502,   2.54,   31.9,   2.24,   2.24,   -.51,   1.96,      0,    927,   -.27,     .6,    .54,   1.04,   1.23,   1.19,   1.65,     22,   41.9,
       28,      01,   200503,   4.32,   34.7,   2.25,   2.25,    .74,   2.22,      0,    939,    .41,    .11,    .69,    .23,   1.54,   1.37,   1.67,   25.3,   44.1,
       28,      01,   200504,   4.88,   51.6,   2.18,   2.18,    .47,   2.18,      0,    402,     .7,    .68,    .41,    .83,   1.07,   1.33,   1.76,   38.1,     65,
       28,      01,   200505,   1.75,   55.5,   -.65,    1.3,  -1.94,    .37,      0,    299,  -1.38,   -.44,   -.14,     .2,    .68,    .96,   1.74,   43.4,   67.7,
       28,      01,   200506,   3.58,   71.4,    -.9,    .85,   -.96,   -.51,    196,      0,   -.13,  -1.13,   -.54,      0,   -.15,   1.03,   1.28,     60,   82.8,
       28,      01,   200507,   3.94,   74.3,  -1.18,  -1.18,  -1.13,  -1.18,    288,      0,   -.28,   -.38,   -.99,   -.58,    .02,    .37,   1.35,   63.9,   84.7,
       28,      01,   200508,   1.92,   74.9,  -2.16,  -2.16,   -3.3,  -2.16,    307,      0,  -1.61,  -1.12,  -1.06,   -.98,   -.62,   -.03,   1.04,   64.2,   85.6,
       28,      01,   200509,    1.6,   68.5,  -2.95,  -2.95,  -3.02,  -2.95,    125,     20,  -1.36,  -2.01,  -1.78,  -1.73,   -1.1,   -.97,    .45,   55.5,   81.4,
       28,      01,   200510,  14.18,   54.3,   3.26,   3.26,   9.78,   3.26,      0,    336,   3.09,   2.14,   1.25,     .4,     .5,    .75,   1.19,   45.8,   62.9,
       28,      01,   200511,   4.21,     45,   2.97,   2.97,    .13,   2.96,      0,    600,    .43,   2.84,    2.1,    .88,    .65,    .77,   1.18,   33.6,   56.3,
       28,      01,   200512,    3.6,   29.6,   2.69,   2.69,     .1,   2.66,      0,   1097,   -.03,    .21,   2.61,    .94,    .56,    .72,    .93,   20.8,   38.4,
       28,      01,   200601,   5.43,     36,   3.07,   3.07,   1.97,   3.07,      0,    899,    1.3,    .82,    .85,   1.47,    .69,    .76,   1.14,   26.4,   45.7,
       28,      01,   200602,   1.98,   32.2,   -.42,   2.34,  -1.26,   1.76,      0,    918,   -.82,    .54,    .38,   1.96,    .89,    .68,    1.1,   22.8,   41.6,
       28,      01,   200603,    .88,   39.7,  -1.51,    .96,  -3.41,  -1.03,      0,    784,  -2.48,  -2.84,   -.81,   1.76,    .52,    .23,    .96,   29.6,   49.8,
       28,      01,   200604,   3.96,   51.6,  -1.51,     .7,   -.46,  -1.34,      0,    402,     .2,  -1.31,  -1.56,   -.27,    .61,    .06,    .83,   38.5,   64.8,
       28,      01,   200605,   3.52,   60.1,  -1.65,  -1.65,   -.88,  -1.65,     22,    174,   -.16,   -.06,  -1.22,   -.59,   1.03,    .28,    .75,   48.1,     72,
       28,      01,   200606,   8.99,   68.5,   1.74,   1.74,   5.21,   1.74,    120,     15,   2.09,   1.47,   1.34,    .64,   1.97,   1.02,   1.27,   58.8,   78.2,
       28,      01,   200607,   4.63,   75.1,   1.54,   1.54,   -.05,   1.44,    313,      0,    .06,   1.51,   1.14,    .11,    .51,   1.08,    .99,   64.7,   85.4,
       28,      01,   200608,   4.39,   71.8,   1.34,   1.34,   -.12,   1.11,    215,      0,    .15,    .05,   1.17,    .28,    .36,   1.37,    .98,   61.1,   82.6,
       28,      01,   200609,   5.09,   62.3,   1.53,   1.53,    .99,   1.53,     27,    108,    .62,    .39,    .32,    .99,    .58,   1.65,    .63,   52.6,   71.9,
       28,      01,   200610,   6.64,   51.6,   2.68,   2.68,   3.92,   2.68,      0,    415,   1.27,   1.23,    .95,    1.4,    .71,     .9,   1.07,   40.4,   62.7,
       28,      01,   200611,   5.54,   47.6,   2.79,   2.79,   1.14,   2.79,      0,    522,   1.07,   1.52,   1.51,   1.72,   1.12,   1.13,   1.18,   38.7,   56.5,
       28,      01,   200612,   2.32,   39.8,   1.97,   1.97,   -1.6,   1.24,      0,    781,   -.86,    .23,   1.01,     .8,   1.27,    .95,      1,   30.3,   49.3,
       28,      01,   200701,    3.2,   33.8,   1.68,   1.68,   -.25,    .81,      0,    967,    .02,   -.67,    .18,     .8,   1.24,    .65,    .83,   25.4,   42.1,
       28,      01,   200702,   1.77,   24.5,      1,      1,  -1.53,   -.49,      0,   1134,  -1.07,   -.77,  -1.17,    .67,   1.19,    .62,    .75,   16.4,   32.7,
       28,      01,   200703,   4.33,     38,   1.05,   1.05,    .45,   -.22,      0,    837,    .41,   -.28,   -.33,    .63,    .54,   1.07,    .77,   26.2,   49.8,
       28,      01,   200704,   9.43,   46.7,   2.82,   2.82,   5.66,   2.82,      0,    549,   2.48,   1.98,   1.55,   1.12,   1.45,    1.7,   1.07,   36.6,   56.9,
       28,      01,   200705,   1.62,   61.6,   1.61,   1.61,  -2.76,    .41,     35,    140,  -1.49,   1.21,   1.15,    .25,   1.13,   1.48,    1.1,   47.6,   75.5,
       28,      01,   200706,    4.5,   69.3,   1.49,   1.49,    .13,    .34,    140,     11,    .37,   -.72,    1.1,    .66,      1,    .92,    1.2,   57.4,   81.1,
       28,      01,   200707,   5.94,   71.8,   1.67,   1.67,      1,    .89,    214,      0,    .66,    .61,   -.17,    .89,    .74,   1.06,   1.43,     61,   82.6,
       28,      01,   200708,   5.82,   71.2,   1.87,   1.87,   1.12,   1.46,    198,      6,    .72,    .82,    .78,   1.27,    .62,   1.22,   1.84,   60.7,   81.7,
       28,      01,   200709,    1.1,     66,    .81,    .81,  -2.59,   -.58,     78,     48,  -2.03,   -.39,    .02,    .64,    .39,    .72,   1.69,   53.8,   78.1,
       28,      01,   200710,   6.36,   60.1,   1.33,   1.33,   1.81,    .61,     26,    178,   1.18,    .01,    .36,    .11,    .83,    .73,   1.06,   49.6,   70.6,
       28,      01,   200711,   3.14,   40.9,   1.01,   1.01,   -.55,     .1,      0,    723,   -.17,    .81,   -.17,    .46,    .92,    .46,    .96,   31.7,   50.1,
       28,      01,   200712,   5.54,   32.7,   1.56,   1.56,   1.95,   1.15,      0,   1001,   1.03,    .55,   1.14,    .67,   1.07,    .87,   1.09,   25.7,   39.6,
       28,      01,   200801,   1.89,   31.8,    .88,    .88,  -1.55,   -.15,      0,   1029,  -1.12,     .2,    .01,    .16,    .05,    .69,    .79,     23,   40.6,
       28,      01,   200802,   6.33,   31.7,    2.3,    2.3,   4.52,    2.3,      0,    932,   2.07,    .93,   1.24,    .63,    .91,   1.26,   1.11,   22.6,   40.9,
       28,      01,   200803,   5.38,   38.9,   2.56,   2.56,   1.49,   2.56,      0,    809,    .98,   1.98,   1.29,    1.5,   1.13,   1.39,   1.46,   28.5,   49.2,
       28,      01,   200804,    2.7,   51.7,   -.58,   1.71,  -1.75,     .9,      0,    399,   -.66,    .28,   1.24,    .81,     .7,    .51,   1.31,   39.3,   64.2,
       28,      01,   200805,   4.25,   55.9,   -.44,   1.62,    .25,    .88,      6,    288,    .24,   -.29,    .31,    .98,    .59,    .84,   1.45,   43.8,     68,
       28,      01,   200806,   3.38,   71.1,   -.76,   1.08,   -1.1,   -.12,    188,      0,   -.26,   -.06,   -.49,    .45,    .95,    .69,   1.01,   59.4,   82.9,
