StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,Wet/Dry Period
28,1,199811,1.53,42.8,-2.88,-2.88,-2.89,-2.88,0,666,-1.28,-0.95,-1.27,-1.39,-0.29,0.1,0.02,32.1,53.4,-1
28,1,199812,1.02,38.3,-3.85,-3.85,-3.82,-3.85,0,828,-1.89,-2.22,-1.95,-2.53,-0.82,-0.32,-0.57,28.6,48,-2
28,1,199901,7.22,29.4,-2.41,-2.41,3.15,-1.12,0,1104,2.08,0.52,-0.27,-0.99,-0.45,0.13,-0.18,19.7,39.1,-1
28,1,199902,2.78,33.4,-2.25,-2.25,-0.27,-1.06,0,885,-0.06,1.72,0.38,-0.83,-1.01,-0.13,-0.12,23.7,43.1,-1
28,1,199903,5.25,38.2,-1.54,-1.54,1.42,0.16,0,831,0.92,0.64,1.8,0,-1.19,0.02,-0.02,28.2,48.2,-1
28,1,199904,2.4,49.4,-1.98,-1.98,-1.78,-0.93,0,468,-0.91,0.11,-0.05,-0.24,-0.92,-0.48,-0.17,36.8,61.9,-1
28,1,199905,3.34,59.1,-2.08,-2.08,-0.93,-1.33,16,199,-0.27,-0.88,-0.13,0.09,-0.8,-0.98,-0.23,46.7,71.5,-1
28,1,199906,1.15,69.6,-2.96,-2.96,-3.27,-2.96,147,9,-2.7,-1.66,-1.95,0.02,-1.03,-1.72,-0.33,56.8,82.4,-1
28,1,199907,0.89,77.2,-4.15,-4.15,-4.49,-4.15,378,0,-2.35,-3.09,-2.3,-1.95,-1.71,-1.78,-0.87,64.4,90.1,-3
28,1,199908,4.78,72,-4.01,-4.01,-0.87,-4.01,221,0,0.32,-1.2,-1.98,-1.59,-1.21,-1.53,-0.88,60.1,83.8,-3
28,1,199909,11.21,65.5,1.76,-1.84,5.28,0.26,70,55,2.29,1.82,0.9,-0.22,0.6,-0.22,-0.03,55.2,75.8,-1
28,1,199910,3.13,50.9,1.7,-1.53,0.36,0.63,0,437,-0.09,1.84,1.49,-0.05,-0.12,-0.23,0.07,39,62.8,-1
28,1,199911,2.75,46.4,-0.44,-1.81,-1.32,-0.2,0,558,-0.41,-0.42,1.47,-0.07,-0.23,-0.07,-0.1,36.5,56.3,-1
28,1,199912,2.72,35.1,-0.69,-1.93,-0.9,-0.64,0,927,-0.58,-0.79,-0.73,0.23,-0.6,0.2,-0.14,26.6,43.6,-1
28,1,200001,3.11,27.3,-0.71,-1.81,-0.26,-0.63,0,1169,-0.05,-0.51,-0.73,0.89,-0.41,-0.43,-0.19,18.2,36.4,-1
28,1,200002,2.3,32.3,-0.92,-1.91,-0.84,-0.99,0,916,-0.49,-0.51,-0.76,0.81,-0.45,-0.51,-0.41,23,41.5,-1
28,1,200003,3.69,43.8,-1.1,-1.99,-0.83,-1.25,0,657,0.02,-0.34,-0.42,-0.87,-0.02,-0.77,-0.47,32.3,55.3,-1
28,1,200004,3.69,48.2,-1.1,-1.89,-0.33,-1.19,0,504,0.03,0,-0.33,-0.75,0.55,-0.56,-0.65,37.7,58.8,-1
